Name,freq
Urban Honolulu,1
East Honolulu,1
Hilo,1
Pearl City,2
Waipahu,1
Kailua CDP,7
Kaneohe,1
Kahului,1
Mililani Town,2
Ewa Gentry,1
Kailua,1
Kihei,1
Kapolei,1
Mililani Mauka,1
Makakilo,1
Schofield Barracks,2
Wailuku,1
Wahiawa,6
Ocean Pointe,1
Halawa,2
Royal Kunia,6
Ewa Beach,1
Waimalu,1
Lahaina,1
Waianae,1
Maili,1
Nanakuli,1
Kaiminani,1
Kaneohe Base,2
Waimea CDP,2
Hawaiian Paradise Park,1
Waihee-Waiehu,1
Waipio,3
Makaha,1
Kapaa,1
Aiea,1
Hickam Housing,1
Haiku-Pauwela,1
Lihue,1
Ahuimanu,2
Makawao,4
Pukalani,2
Waikoloa Village,1
Kahaluu-Keauhou,2
Waikele,1
Napili-Honokowai,2
Kula,1
West Loch Estate,1
Ewa Villages,1
Wailua Homesteads,1
Wailea,3
Laie,3
Waimanalo,1
Waipio Acres,4
Kalaheo,1
Iroquois Point,1
Hawaiian Ocean View,2
Hanamaulu,2
Kahaluu,11
Hawaiian Beaches,1
Haleiwa,1
Heeia,1
Captain Cook,1
Puhi,4
Waimanalo Beach,1
Pupukea,1
Whitmore Village,1
Waikapu,1
Ainaloa,1
Mountain View,1
Hauula,6
Kekaha,1
Kurtistown,1
Orchidlands Estates,3
Waialua,2
Helemano,1
Kaunakakai,1
Hawaiian Acres,2
Kilauea,1
Lanai City,1
Holualoa,2
Hanapepe,1
Eleele,1
Honaunau-Napoopoo,1
Lawai,2
Wailua,2
Keokea,6
Koloa,1
Anahola,1
Kalaeloa,10
Kealakekua,9
Honokaa,1
Paia,3
Kahuku,1
Mokuleia,1
East Kapolei,1
Wheeler AFB,1
Pahala,1
Kapaau,1
Princeville,1
Maunawili,1
Kualapuu,1
Leilani Estates,1
Kaloko,1
Fern Acres,4
Ko Olina,1
Waimea,1
Pepeekeo,1
Omao,1
Nanawale Estates,1
Hawi,5
Royal Hawaiian Estates,1
Keaau,5
Laupahoehoe,1
Kaaawa,1
Pahoa,1
Kaumakani,7
Discovery Harbour,2
Mauna Loa Estates,5
Kaanapali,1
Punaluu,1
Wainaku,2
Naalehu,2
Poipu,1
Haliimaile,2
Olinda,4
Mahinahina,1
Papaikou,1
Honalo,5
Hana,1
Volcano,92
Eden Roc,2
Volcano Golf Course,1
Halaula,1
Fern Forest,4
Waikoloa Beach Resort,1
Paukaa,2
Launiupoko,3
Waiahole-Waikane,1
Tiki Gardens,13
Paauilo,12
Ualapue,1
Pakala Village,11
Honomu,1
Hanalei,1
Kapalua,8
Kawela Bay,3
Kukuihaele,1
Maunaloa,1
Kalihiwai,1
Maalaea,2
Puako,21
Waiohinu,4
Haena,1
Wainiha,1
Seaview,1
Makena,1
Kamaili,1
Makaha Valley,1
Black Sands,1
Olowalu,2
Manele,1
Kalapana,1
,1
,1
